Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Status
acc-opcional-ruedas-desmopan-50mm,Opcional: Ruedas Desmopan 50mm,Accesorio opcional de tipo Opcional proveniente de Magento.,Magento Import,Opcional,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-RUEDAS-DESMOPAN-50MM,12900.0,shopify,9999,deny,active
acc--pata-cromada,nan: Pata Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-CROMADA,9000.0,shopify,9999,deny,active
acc--pata-cromada,nan: Pata Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-CROMADA,13000.0,shopify,9999,deny,active
acc-brazo-incluir-brazo-opuesto-a-paleta,Brazo: Incluir Brazo Opuesto a Paleta,Accesorio opcional de tipo Brazo proveniente de Magento.,Magento Import,Brazo,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-INCLUIR-BRAZO-OPUESTO-A-PALETA,17000.0,shopify,9999,deny,active
acc--pata-color-gris,nan: Pata Color Gris ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-COLOR-GRIS,11200.0,shopify,9999,deny,active
acc--pata-cromada,nan: Pata Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATA-CROMADA,11200.0,shopify,9999,deny,active
acc--patas-trineo-cromado,nan: Patas Trineo Cromado,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PATAS-TRINEO-CROMADO,46400.0,shopify,9999,deny,active
acc--2-cuerpo,nan: 2 Cuerpo,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-2-CUERPO,113000.0,shopify,9999,deny,active
acc--3-cuerpo,nan: 3 Cuerpo,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPO,230000.0,shopify,9999,deny,active
acc--2-cuerpo,nan: 2 Cuerpo,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-2-CUERPO,309900.0,shopify,9999,deny,active
acc--3-cuerpo,nan: 3 Cuerpo,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPO,440800.0,shopify,9999,deny,active
acc-tapiz-ecoclean-lavable-antimancha-para-1-cuerpo,Tapiz: Ecoclean Lavable Antimancha para 1 cuerpo,Accesorio opcional de tipo Tapiz proveniente de Magento.,Magento Import,Tapiz,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ECOCLEAN-LAVABLE-ANTIMANCHA-PARA-1-CUERPO,128800.0,shopify,9999,deny,active
acc--ecoclean-lavable-antimancha-para-2-cuerpos,nan: Ecoclean Lavable Antimancha para 2 cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ECOCLEAN-LAVABLE-ANTIMANCHA-PARA-2-CUERPOS,199300.0,shopify,9999,deny,active
acc--ecoclean-lavable-antimancha-para-3-cuerpos,nan: Ecoclean Lavable Antimancha para 3 cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ECOCLEAN-LAVABLE-ANTIMANCHA-PARA-3-CUERPOS,248000.0,shopify,9999,deny,active
acc--2-cuerpos,nan: 2 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-2-CUERPOS,99000.0,shopify,9999,deny,active
acc--3-cuerpos,nan: 3 Cuerpos,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-3-CUERPOS,222000.0,shopify,9999,deny,active
acc--par-de-brazos-iso,nan: Par de Brazos Iso,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-PAR-DE-BRAZOS-ISO,17080.0,shopify,9999,deny,active
acc--estructura-gris,nan: Estructura Gris ,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ESTRUCTURA-GRIS,2990.0,shopify,9999,deny,active
acc--estructura-cromada,nan: Estructura Cromada,Accesorio opcional de tipo nan proveniente de Magento.,Magento Import,,"accesorio-configurador, oculto",TRUE,Title,Default Title,ACC-ESTRUCTURA-CROMADA,8990.0,shopify,9999,deny,active
