banqueta-kyos-respaldo-malla,"[""acc--5-cuerpos"", ""acc--3-cuerpos"", ""acc--pata-y-invertida-aluminio-pulido"", ""acc-accesorio-revistero"", ""acc--4-cuerpos""]"
silla-universitaria-iso-revolution-malla,"[""acc--patas-cromadas"", ""acc-brazo-incluir-brazo-opuesto-a-paleta""]"
silla-universitaria-kyos-malla,"[""acc--patas-trineo-cromado"", ""acc--pata-cromada""]"
silla-universitaria-kyos-respaldo-plastico-asiento-tapizado,"[""acc--patas-trineo-cromado"", ""acc--pata-cromada""]"
banqueta-cosmos-pata-luna-cromada,"[""acc--6"", ""acc--3"", ""acc--5"", ""acc--4""]"
banqueta-cosmos-pata-recta,"[""acc--6"", ""acc--3"", ""acc--5"", ""acc--4""]"
banqueta-spring-tapizada-pata-recta-negra,"[""acc--5-cuerpos"", ""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--pata-split"", ""acc--pata-split-cromada""]"
banqueta-iso-plastica,"[""acc--pata-luna-cromada"", ""acc--6"", ""acc--4"", ""acc--5"", ""acc--blanco"", ""acc--3""]"
silla-universitaria-novaiso,"[""acc--con-rejilla""]"
silla-universitaria-isosceles-tapizada,"[""acc--con-rejilla-universittaria""]"
banqueta-alice-polipropileno-plastico-pata-luna-cromada,"[""acc--6"", ""acc--4"", ""acc--5"", ""acc--blanco"", ""acc--3""]"
banqueta-alice-polipropileno-plastico-pata-splitz,"[""acc--6"", ""acc--4"", ""acc--5"", ""acc--blanco"", ""acc--3""]"
banqueta-alice-mixta-pata-splitz,"[""acc--pata-luna-cromada"", ""acc--6"", ""acc-extra-revistero"", ""acc--4"", ""acc--5"", ""acc--blanco"", ""acc--3"", ""acc--pata-split-cromada""]"
banqueta-alice-tapizada,"[""acc--pata-luna-cromada"", ""acc--6"", ""acc--4"", ""acc--5"", ""acc--3"", ""acc--pata-split-cromada""]"
silla-tossy,"[""acc-adicionales-cabecero""]"
silla-delta-malla-trineo,"[""acc--con-brazos""]"
silla-delta-polipropilenp-plastico,"[""acc--con-brazos""]"
silla-delta-asiento-tapizado-respaldo-polipropileno,"[""acc--con-brazos""]"
silla-yes-negra,"[""acc--4-patas-cromadas""]"
silla-cob-okamura,"[""acc-opcionales-ruedas-desmopan"", ""acc--si""]"
poltrona-frida-gris-perla,"[""acc--si""]"
silla-logan-tapizada,"[""acc--nordic"", ""acc--par-de-brazos-negros""]"
silla-logan-asiento-tapizado-respaldo-malla,"[""acc--nordic"", ""acc--par-de-brazos-negros""]"
silla-logan-respaldo-polipropileno-asiento-tapizado,"[""acc--nordic"", ""acc--par-de-brazos-negros""]"
silla-logan-polipropileno,"[""acc--par-de-brazos-negros""]"
escritorio-mapi-smart-electrico-ajustable-altura,"[""acc--160-cm-ancho-x-60-cm-profundidad"", ""acc--130-cm-ancho-x-60-cm-profundidad"", ""acc--150-cm-ancho-x-60-cm-profundidad"", ""acc--170-cm-ancho-x-60-cm-profundidad"", ""acc--140-cm-ancho-x-60-cm-profundidad"", ""acc--120-cm-ancho-x-60-cm-profundidad""]"
poltrona-carmena,"[""acc-opcion-cuero-natural-color-a-eleccion""]"
silla-flexa-base-negra,"[""acc--base-cromada""]"
silla-aurelia-media,"[""acc-opcional-tapiz-cuero-natural-consultar-colores-disponibles""]"
silla-aurelia-alta,"[""acc-opcional-tapiz-cuero-natural-consultar-colores-disponibles""]"
silla-logan-polipropileno-trineo,"[""acc--par-de-brazos-negros""]"
silla-logan-tapizada-trineo,"[""acc--nordic"", ""acc--par-de-brazos-negros""]"
cajonera-metalica-nex-2-cajones-1-kardex-movil,"[""acc--ancho-39cm-x-profundidad-50cm-x-altura-60cm""]"
cajonera-metalica-mob-2-cajones-1-kardex-fija,"[""acc--con-cubierta-met\u00e1lica""]"
estacion-trabajo-grupal-para-2-personas-corchete-abierto,"[""acc--16-mts-ancho-x-70-cm-profundidad"", ""acc--14-mts-ancho-x-60-cm-profundidad"", ""acc--13-mts-ancho-x-60-cm-profundidad"", ""acc-opcionales-2-cajoneras-m\u00f3vil-laminada-3-cajones"", ""acc--15-mts-ancho-x-70-cm-profundidad"", ""acc--17-mts-ancho-x-70-cm-profundidad""]"
