Parent_SKU,Accessory_Group,Accessory_Title,Accessory_Handle
VC190,,Brazos Regulables 2D TPU,acc--brazos-regulables-2d-tpu
VC190,,Nordic,acc--nordic
VC195,,Brazo Regulable ,acc--brazo-regulable
VC197,,Base Cromada,acc--base-cromada
VC197,,Base Aluminio,acc--base-aluminio
VC197,,Brazo Regulable ,acc--brazo-regulable
VC199,,Base Cromada,acc--base-cromada
VC199,,Base Aluminio,acc--base-aluminio
VC199,,Brazo Regulable,acc--brazo-regulable
VC201,,Alto,acc--alto
VC203,,Base Cromada,acc--base-cromada
VC203,,Base Aluminio,acc--base-aluminio
VC203,,Brazo Regulable,acc--brazo-regulable
VC212,Opcional,Ruedas Desmopan 50mm,acc-opcional-ruedas-desmopan-50mm
VC214,,Base Cromada,acc--base-cromada
VC214,,Base Aluminio,acc--base-aluminio
VC214,,Brazo Fijo BRC 24,acc--brazo-fijo-brc-24
VC214,,Brazo Regulable BRC 28 PP Estructura Negra,acc--brazo-regulable-brc-28-pp-estructura-negra
VC214,,Brazo Regulable BRC 19 CR Estructura Aluminio,acc--brazo-regulable-brc-19-cr-estructura-aluminio
VC222,,Brazo Regulable,acc--brazo-regulable
VC218,,Brazos fijos Golf,acc--brazos-fijos-golf
VC218,,Brazos regulables fritz en PP ,acc--brazos-regulables-fritz-en-pp
VC218,,Brazos regulables 2D en PU ,acc--brazos-regulables-2d-en-pu
VC218,,Nordic,acc--nordic
VC218,Patas ,Base cromada ,acc-patas-base-cromada
VC219,,Base Cromada,acc--base-cromada
VC219,,Brazos Fijos Golf PP,acc--brazos-fijos-golf-pp
VC219,,Brazos Regulables Fritz PP,acc--brazos-regulables-fritz-pp
VC219,,Brazos Regulables 2D PU,acc--brazos-regulables-2d-pu
VC219,,Nordic,acc--nordic
VC223,,Base Cromada,acc--base-cromada
VC223,,Brazos Fijos PP,acc--brazos-fijos-pp
VC223,,Brazos Regulables PP,acc--brazos-regulables-pp
VC223,,Nordic,acc--nordic
VC224,,Base Cromada,acc--base-cromada
VC224,,Brazos Fijos PP,acc--brazos-fijos-pp
VC224,,Brazos Regulables PP,acc--brazos-regulables-pp
VC224,,Nordic,acc--nordic
VC230,,Patas Cromadas,acc--patas-cromadas
VC230,,Estructura Trineo Cromado,acc--estructura-trineo-cromado
VC230,,Brazos Fijos ,acc--brazos-fijos
VC231,,Patas Cromadas,acc--patas-cromadas
VC231,,Brazos Fijos  ,acc--brazos-fijos
VC232,,Brazos Fijos,acc--brazos-fijos
VC240,,Brazos Fijos,acc--brazos-fijos
VC240,,Eco Clean,acc--eco-clean
VC235,,Trineo cromado,acc--trineo-cromado
VC237,,Patas Cromadas,acc--patas-cromadas
VC237,,Brazos Plásticos Negros con Pad Negro,acc--brazos-plásticos-negros-con-pad-negro
VC239,,Patas Grises   ,acc--patas-grises
VC239,,Patas Cromadas,acc--patas-cromadas
VC239,,Brazos Fijos,acc--brazos-fijos
VC241,,Patas Grises.  ,acc--patas-grises
VC241,,Patas Cromadas,acc--patas-cromadas
VC241,,Brazos Fijos,acc--brazos-fijos
VC241,,Paleta Nacional Universitaria,acc--paleta-nacional-universitaria
VC242,,Patas Cromadas,acc--patas-cromadas
VC242,,Estructura Trineo Cromada,acc--estructura-trineo-cromada
VC242,,Brazos Fijos,acc--brazos-fijos
VC243,,Patas Cromadas,acc--patas-cromadas
VC243,,Estructura Trineo Cromada,acc--estructura-trineo-cromada
VC243,,Brazos Fijos,acc--brazos-fijos
VC246,,Par de Brazos,acc--par-de-brazos
VC246,,Nordic,acc--nordic
VC249,,Par de Brazos,acc--par-de-brazos
VC249,,Nordic,acc--nordic
VC259,,Nordic,acc--nordic
VC260,,Nordic,acc--nordic
VC263,Opcional,Ruedas Desmopan 65mm (Para Piso Flotante),acc-opcional-ruedas-desmopan-65mm-para-piso-flotante
VC268,Accesorios,Apoyo Lumbar,acc-accesorios-apoyo-lumbar
VC268,,Perchero ,acc--perchero
VC268,,Cabecero Ancho Malla Negro,acc--cabecero-ancho-malla-negro
VC287,Opcionales ,Cabecero Ancho Malla Fijo ,acc-opcionales-cabecero-ancho-malla-fijo
VC287,,Apoyo Lumbar ,acc--apoyo-lumbar
VC291,,Base Cromada,acc--base-cromada
VC291,,Base Aluminio,acc--base-aluminio
VC291,,Brazo Regulable,acc--brazo-regulable
VC292,,Base Cromada,acc--base-cromada
VC292,,Base Aluminio,acc--base-aluminio
VC292,,Brazo Regulable ,acc--brazo-regulable
VC293,,Base Cromada,acc--base-cromada
VC293,,Base Aluminio,acc--base-aluminio
VC293,,Brazo Fijo BRC 24,acc--brazo-fijo-brc-24
VC293,,Brazo Regulable BRC 28 PP,acc--brazo-regulable-brc-28-pp
VC293,,Brazo Regulable BRC 19 CR,acc--brazo-regulable-brc-19-cr
VC264,Opcional,Ruedas Desmopan 65mm (Para Piso Flotante),acc-opcional-ruedas-desmopan-65mm-para-piso-flotante
VC322,,Si,acc--si
VC323,,Si,acc--si
VC359,Opciones extra,Cabecero,acc-opciones-extra-cabecero
VC359,,Desplazador ,acc--desplazador
VC374,,Cojines Tapizados en Cuero Italiano,acc--cojines-tapizados-en-cuero-italiano
VC376,COMPONENTE ADICIONAL,Base Aluminio ,acc-componente-adicional-base-aluminio
VC376,,Rueda Desmopan ,acc--rueda-desmopan
VC378,Opcional,Cabecero,acc-opcional-cabecero
VC384,,3 Cuerpos,acc--3-cuerpos
VC384,,4 Cuerpos,acc--4-cuerpos
VC384,,5 Cuerpos,acc--5-cuerpos
VC384,,Pata Y invertida Aluminio pulido,acc--pata-y-invertida-aluminio-pulido
VC384,Accesorio,Revistero,acc-accesorio-revistero
VC386,,Patas Cromadas,acc--patas-cromadas
VC386,Brazo,Incluir Brazo Opuesto a Paleta,acc-brazo-incluir-brazo-opuesto-a-paleta
VC387,,Pata Cromada,acc--pata-cromada
VC387,,Patas Trineo Cromado,acc--patas-trineo-cromado
VC388,,Pata Cromada,acc--pata-cromada
VC388,,Patas Trineo Cromado,acc--patas-trineo-cromado
VC391,,3,acc--3
VC391,,4,acc--4
VC391,,5,acc--5
VC391,,6,acc--6
VC392,,3,acc--3
VC392,,4,acc--4
VC392,,5,acc--5
VC392,,6,acc--6
VC395,,3 Cuerpos,acc--3-cuerpos
VC395,,4 Cuerpos,acc--4-cuerpos
VC395,,5 Cuerpos,acc--5-cuerpos
VC395,,Pata Split,acc--pata-split
VC395,,Pata Split Cromada,acc--pata-split-cromada
VC396,,3,acc--3
VC396,,4,acc--4
VC396,,5,acc--5
VC396,,6,acc--6
VC396,,Pata Luna cromada,acc--pata-luna-cromada
VC396,,Blanco,acc--blanco
VC397,,Con rejilla,acc--con-rejilla
VC400,,Con Rejilla Universittaria,acc--con-rejilla-universittaria
VC403,,3,acc--3
VC403,,4,acc--4
VC403,,5,acc--5
VC403,,6,acc--6
VC403,,Blanco,acc--blanco
VC404,,3,acc--3
VC404,,4,acc--4
VC404,,5,acc--5
VC404,,6,acc--6
VC404,,Blanco,acc--blanco
VC405,,3,acc--3
VC405,,4,acc--4
VC405,,5,acc--5
VC405,,6,acc--6
VC405,,Blanco,acc--blanco
VC405,,Pata luna cromada ,acc--pata-luna-cromada
VC405,,Pata split cromada,acc--pata-split-cromada
VC405,EXTRA,Revistero ,acc-extra-revistero
VC406,,3,acc--3
VC406,,4,acc--4
VC406,,5,acc--5
VC406,,6,acc--6
VC406,,pata luna cromada,acc--pata-luna-cromada
VC406,,pata split cromada ,acc--pata-split-cromada
VC414,Adicionales,Cabecero,acc-adicionales-cabecero
VC417,,Con Brazos,acc--con-brazos
VC418,,Con Brazos,acc--con-brazos
VC419,,Con Brazos,acc--con-brazos
