Handle,Title,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Command
silla-y10-alta,Silla Y10 Alta,Title,Default Title,VC184,144000.0,https://vicca.cl/media/catalog/product/c/a/captura_de_pantalla_2021-11-09_a_la_s_17.16.24_1.png,MERGE
silla-y10-media,Silla Y10 Media,Title,Default Title,VC185,119000.0,https://vicca.cl/media/catalog/product/u/3/u3.jpg,MERGE
silla-alex-alta-pivotal,Silla Alex Alta Pivotal,Title,Default Title,VC187,85000.0,https://vicca.cl/media/catalog/product/a/4/a4.jpg,MERGE
silla-alex-media-pivotal,Silla Alex Media Pivotal,Title,Default Title,VC188,85000.0,https://vicca.cl/media/catalog/product/m/4/m4.jpg,MERGE
silla-aviator-alta-pivotal,Silla Aviator Alta Pivotal,Title,Default Title,VC189,101000.0,https://vicca.cl/media/catalog/product/a/v/av3.jpg,MERGE
silla-aviator-media-pivotal,Silla Aviator Media Pivotal,Title,Default Title,VC190,101000.0,https://vicca.cl/media/catalog/product/p/i/pi3.jpg,MERGE
silla-bologna-pivotal,Silla Bologna Pivotal,Title,Default Title,VC195,88000.0,https://vicca.cl/media/catalog/product/p/i/pi2_2.jpg,MERGE
silla-cozy-alta-pivotal,Silla Cozy Alta Pivotal,Title,Default Title,VC197,133000.0,https://vicca.cl/media/catalog/product/s/i/silla_cozy_operativa_tapizada_alta_pivotal_1_vicca.jpg,MERGE
silla-drop-alta-pivotal,Silla Drop Alta Pivotal,Title,Default Title,VC199,133000.0,https://vicca.cl/media/catalog/product/s/i/silla_drop_alta_operativa_tapizada_pivotal_1_vicca.jpg,MERGE
silla-duomo,Silla Duomo,Title,Default Title,VC201,162990.0,https://vicca.cl/media/catalog/product/s/i/silla_duomo_1_vicca.jpg,MERGE
silla-flash-alta-pivotal,Silla Flash Alta Pivotal,Title,Default Title,VC203,125000.0,https://vicca.cl/media/catalog/product/s/i/silla_flash_alta_operativa_tapizada_pivotal_1_vicca.jpg,MERGE
silla-genova-reclinable,Silla Genova Reclinable,Title,Default Title,VC206,79000.0,https://vicca.cl/media/catalog/product/r/e/re2.jpg,MERGE
