handle,title,tipo_actual,tipo_nuevo,accion
acc-general-cabecero-de-cuero-natural,General: Cabecero de Cuero natural,General,Color Tapiz,✅ Actualizado
acc-general-cabecero-de-ecocuero-o-tela,General: Cabecero de ecocuero o tela,General,Color Tapiz,✅ Actualizado
acc-general-cabecero-malla-fijo,General: Cabecero Malla Fijo,General,General,sin cambio
acc-general-cabecero-negro,General: Cabecero negro,General,General,sin cambio
acc-general-cabecero-y-colgador,General: Cabecero y colgador,General,General,sin cambio
acc-general-cajonera-movil-laminada-3-con-cajones,General: Cajonera Móvil Laminada 3 con Cajones,General,General,sin cambio
acc-general-calipso,General: Calipso,General,General,sin cambio
acc-general-carmin,General: Carmin,General,General,sin cambio
acc-general-celeste,General: Celeste,General,General,sin cambio
acc-general-cerezo-agreste,General: Cerezo Agreste,General,General,sin cambio
acc-general-cerezo-clasico,General: Cerezo Clasico,General,General,sin cambio
acc-general-cesped,General: Césped,General,General,sin cambio
acc-general-chang-ra,General: Chang Ra,General,General,sin cambio
acc-general-cian,General: Cian,General,General,sin cambio
acc-general-cojin-tapizado-en-tela-nordic,General: Cojín tapizado en tela Nordic,General,Color Tapiz,✅ Actualizado
acc-general-cojin-tapizado-en-tela-verona,General: Cojín tapizado en tela Verona,General,Color Tapiz,✅ Actualizado
acc-general-cojines-tapizados-en-cuero-italiano,General: Cojines Tapizados en Cuero Italiano,General,Color Tapiz,✅ Actualizado
acc-general-cojines-tapizados-en-ecocuero,General: Cojines Tapizados en Ecocuero,General,Color Tapiz,✅ Actualizado
acc-general-color-a-eleccion,General: Color a Eleccion,General,General,sin cambio
acc-general-con-brazos,General: Con Brazos,General,General,sin cambio
acc-general-con-brazos-pp,General: Con brazos pp,General,General,sin cambio
acc-general-con-cabecero,General: Con cabecero,General,General,sin cambio
acc-general-con-cubierta-metalica,General: Con Cubierta Metálica,General,General,sin cambio
acc-general-con-rejilla,General: Con rejilla,General,General,sin cambio
acc-general-con-rejilla-universittaria,General: Con Rejilla Universittaria,General,General,sin cambio
acc-general-consultar-por-medidas-personalizadas,General: Consultar por medidas personalizadas,General,General,sin cambio
acc-general-coral,General: Coral,General,General,sin cambio
acc-general-corallo,General: Corallo,General,General,sin cambio
