silla-kyos-tapizada,"[""acc--patas-cromadas"", ""acc--estructura-trineo-cromada"", ""acc--brazos-fijos""]"
silla-pinko-respaldo-malla,"[""acc--par-de-brazos"", ""acc--nordic""]"
silla-prisma,"[""acc--par-de-brazos"", ""acc--nordic""]"
silla-urban-4-patas,"[""acc--nordic""]"
silla-urban-trineo,"[""acc--nordic""]"
silla-atton-alto,"[""acc-opcional-ruedas-desmopan-65mm-para-piso-flotante""]"
silla-cp,"[""acc-accesorios-apoyo-lumbar"", ""acc--perchero"", ""acc--cabecero-ancho-malla-negro""]"
silla-sabrina-standar,"[""acc-opcionales-cabecero-ancho-malla-fijo"", ""acc--apoyo-lumbar""]"
silla-cozy-syncro,"[""acc--base-cromada"", ""acc--base-aluminio"", ""acc--brazo-regulable""]"
silla-drop-syncro,"[""acc--base-cromada"", ""acc--base-aluminio"", ""acc--brazo-regulable""]"
silla-matrix-syncro,"[""acc--base-cromada"", ""acc--base-aluminio"", ""acc--brazo-fijo-brc-24"", ""acc--brazo-regulable-brc-28-pp"", ""acc--brazo-regulable-brc-19-cr""]"
silla-atton-medio,"[""acc-opcional-ruedas-desmopan-65mm-para-piso-flotante""]"
silla-carson-baja-negra,"[""acc--si""]"
silla-carson-baja-gris,"[""acc--si""]"
silla-big-boss,"[""acc-opciones-extra-cabecero"", ""acc--desplazador""]"
silla-alia-tapizada-alta,"[""acc--cojines-tapizados-en-cuero-italiano""]"
silla-q3-gris,"[""acc-componente-adicional-base-aluminio"", ""acc--rueda-desmopan""]"
silla-big-boss-blanca,"[""acc-opcional-cabecero""]"
banqueta-kyos-respaldo-malla,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos"", ""acc--pata-y-invertida-aluminio-pulido"", ""acc-accesorio-revistero""]"
silla-universitaria-iso-revolution-malla,"[""acc--patas-cromadas"", ""acc-brazo-incluir-brazo-opuesto-a-paleta""]"
silla-universitaria-kyos-malla,"[""acc--pata-cromada"", ""acc--patas-trineo-cromado""]"
silla-universitaria-kyos-respaldo-plastico-asiento-tapizado,"[""acc--pata-cromada"", ""acc--patas-trineo-cromado""]"
banqueta-cosmos-pata-luna-cromada,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6""]"
banqueta-cosmos-pata-recta,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6""]"
banqueta-spring-tapizada-pata-recta-negra,"[""acc--3-cuerpos"", ""acc--4-cuerpos"", ""acc--5-cuerpos"", ""acc--pata-split"", ""acc--pata-split-cromada""]"
banqueta-iso-plastica,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6"", ""acc--pata-luna-cromada"", ""acc--blanco""]"
silla-universitaria-novaiso,"[""acc--con-rejilla""]"
silla-universitaria-isosceles-tapizada,"[""acc--con-rejilla-universittaria""]"
banqueta-alice-polipropileno-plastico-pata-luna-cromada,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6"", ""acc--blanco""]"
banqueta-alice-polipropileno-plastico-pata-splitz,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6"", ""acc--blanco""]"
banqueta-alice-mixta-pata-splitz,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6"", ""acc--blanco"", ""acc--pata-luna-cromada"", ""acc--pata-split-cromada"", ""acc-extra-revistero""]"
banqueta-alice-tapizada,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6"", ""acc--pata-luna-cromada"", ""acc--pata-split-cromada""]"
silla-tossy,"[""acc-adicionales-cabecero""]"
silla-delta-malla-trineo,"[""acc--con-brazos""]"
silla-delta-polipropilenp-plastico,"[""acc--con-brazos""]"
silla-delta-asiento-tapizado-respaldo-polipropileno,"[""acc--con-brazos""]"
silla-yes-negra,"[""acc--4-patas-cromadas""]"
silla-cob-okamura,"[""acc--si"", ""acc-opcionales-ruedas-desmopan""]"
poltrona-frida-gris-perla,"[""acc--si""]"
silla-logan-tapizada,"[""acc--par-de-brazos-negros"", ""acc--nordic""]"
silla-logan-asiento-tapizado-respaldo-malla,"[""acc--par-de-brazos-negros"", ""acc--nordic""]"
silla-logan-respaldo-polipropileno-asiento-tapizado,"[""acc--par-de-brazos-negros"", ""acc--nordic""]"
silla-logan-polipropileno,"[""acc--par-de-brazos-negros""]"
escritorio-mapi-smart-electrico-ajustable-altura,"[""acc--120-cm-ancho-x-60-cm-profundidad"", ""acc--130-cm-ancho-x-60-cm-profundidad"", ""acc--140-cm-ancho-x-60-cm-profundidad"", ""acc--150-cm-ancho-x-60-cm-profundidad"", ""acc--160-cm-ancho-x-60-cm-profundidad"", ""acc--170-cm-ancho-x-60-cm-profundidad""]"
poltrona-carmena,"[""acc-opcion-cuero-natural-color-a-eleccion""]"
silla-flexa-base-negra,"[""acc--base-cromada""]"
silla-aurelia-media,"[""acc-opcional-tapiz-cuero-natural-consultar-colores-disponibles""]"
silla-aurelia-alta,"[""acc-opcional-tapiz-cuero-natural-consultar-colores-disponibles""]"
silla-logan-polipropileno-trineo,"[""acc--par-de-brazos-negros""]"
silla-logan-tapizada-trineo,"[""acc--par-de-brazos-negros"", ""acc--nordic""]"
cajonera-metalica-nex-2-cajones-1-kardex-movil,"[""acc--ancho-39cm-x-profundidad-50cm-x-altura-60cm""]"
cajonera-metalica-mob-2-cajones-1-kardex-fija,"[""acc--con-cubierta-metalica""]"
estacion-trabajo-grupal-para-2-personas-corchete-abierto,"[""acc--13-mts-ancho-x-60-cm-profundidad"", ""acc--14-mts-ancho-x-60-cm-profundidad"", ""acc--15-mts-ancho-x-70-cm-profundidad"", ""acc--16-mts-ancho-x-70-cm-profundidad"", ""acc--17-mts-ancho-x-70-cm-profundidad"", ""acc-opcionales-2-cajoneras-movil-laminada-3-cajones""]"
estacion-trabajo-grupal-para-4-personas-corchete-abierto,"[""acc--26-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60-cm-profundidad"", ""acc--28-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60-cm-profundidad"", ""acc--30-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70-cm-profundidad"", ""acc--32-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70-cm-profundidad"", ""acc--34-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70-cm-profundidad"", ""acc-opcionales-4-cajoneras-movil-laminada-3-con-cajones""]"
estacion-trabajo-grupal-para-6-personas-corchete-abierto,"[""acc--39-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60cm-profundidad"", ""acc--42-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60cm-profundidad"", ""acc--45-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70cm-profundidad"", ""acc--48-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70cm-profundidad"", ""acc--51-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70cm-profundidad"", ""acc-opcionales-pack-6-cajoneras-movil-laminada-3-con-cajones""]"
estacion-trabajo-grupal-para-2-personas-corchete-cerrado,"[""acc--13-mts-ancho-x-60-cm-profundidad"", ""acc--14-mts-ancho-x-60-cm-profundidad"", ""acc--15-mts-ancho-x-70-cm-profundidad"", ""acc--16-mts-ancho-x-70-cm-profundidad"", ""acc--17-mts-ancho-x-70-cm-profundidad"", ""acc-opcionales-2-cajoneras-movil-laminada-3-cajones""]"
estacion-trabajo-grupal-para-4-personas-corchete-cerrado,"[""acc--26-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60-cm-profundidad"", ""acc--28-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60-cm-profundidad"", ""acc--30-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70-cm-profundidad"", ""acc--32-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70-cm-profundidad"", ""acc--34-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70-cm-profundidad"", ""acc-opcionales-4-cajoneras-movil-laminada-3-con-cajones""]"
estacion-trabajo-grupal-para-6-personas-corchete-cerrado,"[""acc--39-mts-ancho-x-12-mts-profundidad-puesto-de-13-mts-ancho-por-60cm-profundidad"", ""acc--42-mts-ancho-x-12-mts-profundidad-puesto-de-14-mts-ancho-por-60cm-profundidad"", ""acc--45-mts-ancho-x-14-mts-profundidad-puesto-de-15-mts-ancho-por-70cm-profundidad"", ""acc--48-mts-ancho-x-14-mts-profundidad-puesto-de-16-mts-ancho-por-70cm-profundidad"", ""acc--51-mts-ancho-x-14-mts-profundidad-puesto-de-17-mts-ancho-por-70cm-profundidad"", ""acc-opcionales-pack-6-cajoneras-movil-laminada-3-con-cajones""]"
taburete-cosmos,"[""acc--blanco""]"
banqueta-iso-pata-splitz-cromada,"[""acc--3"", ""acc--4"", ""acc--5"", ""acc--6"", ""acc--blanco""]"
banqueta-logan-respaldo-polipropileno-asiento-tapizado,"[""acc--3"", ""acc--4"", ""acc--nordic-2-cuerpos"", ""acc--nordic-3-cuerpos"", ""acc--nordic-4-cuerpos""]"
silla-logan-cajero,"[""acc--aro-cromado"", ""acc--nordic""]"
silla-tullio-negra,"[""acc--base-aluminio"", ""acc--brazos-regulables-3d-en-pu"", ""acc-opcionales-ruedas-desmopan-para-piso-flotante"", ""acc--cabecero"", ""acc--desplazador-de-asiento"", ""acc--nordic""]"
silla-logan-giratoria-malla,"[""acc--brazo-fijo"", ""acc-opcional-ruedas-desmopan-50-mm-para-piso-flotante"", ""acc--nordic""]"
silla-gala,"[""acc-base-base-cromada""]"
silla-work-up,"[""acc-opcionales-cabecero-y-colgador""]"
sofa-giotto,"[""acc--2-cuerpo"", ""acc--3-cuerpo"", ""acc-tapiz-ecoclean-lavable-antimancha-para-1-cuerpo"", ""acc--ecoclean-lavable-antimancha-para-2-cuerpos"", ""acc--ecoclean-lavable-antimancha-para-3-cuerpos""]"
silla-contessa-seconda,"[""acc-opcionales-cabecero-malla-fijo""]"
silla-focus,"[""acc-opcionales-cabecero"", ""acc--base-cromada"", ""acc--base-aluminio""]"
silla-andes,"[""acc--base-cromada"", ""acc--cabecero""]"
